Event,Point,Value,Time,Info
[COV],occSense,0.000,3603.660,
[COV],occSenseEn,0.000,3603.660,
[COV],activeSp,72.000,3603.660,
[COV],heatMinOnTime,30.000,3603.660,
[COV],heatMinOffTime,30.000,3603.660,
[COV],coolMinOnTime,60.000,3603.660,
[COV],coolMinOffTime,60.000,3603.660,
[COV],controlDeadBand,1.000,3603.660,
[COV],controlTick,1.000,3603.660,
[COV],controlDelay,5.000,3603.660,
[COV],h1_enabled,,3603.660,
[COV],c1_enabled,,3603.660,
[COV],fan1_enabled,,3603.660,
[COV],site_name,Null,3603.660,nate
[COV],state,2.000,3603.660,Active
[COV],runTime,1.000,3603.660,
[COV],latitude,0.000,3603.660,
[COV],longitude,0.000,3603.660,
[COV],darkSkyKey,Null,3603.660,null
[COV],outdoorAirTemperature,72.000,3603.660,
[COV],upTempIO,13.000,3603.660,
[COV],downTempIO,15.000,3603.660,
[COV],modeChangeIO,16.000,3603.660,
[COV],led_pin,11.000,3603.660,
[COV],sensePin,12.000,3603.660,
[COV],c1Pin,19.000,3603.660,
[COV],h1Pin,21.000,3603.660,
[COV],cool1,0.000,3603.660,
[COV],heat1,1.000,3603.660,
[COV],skipStateLoad,,3603.660,
