Time,On,Temperature,Setpoint
0,63,60,70
10,68,59.97222222222222,70
20,68,60.01396604938272,70
30,68,60.05559392146776,70
40,68,60.097106160574796,70
50,68,60.138503087906535,70
60,68,60.17978502377346,70
70,68,60.22095228759631,70
80,68,60.26200519790854,70
90,68,60.3029440723588,70
100,68,60.34376922771336,70
110,68,60.3844809798586,70
120,68,60.425079643803436,70
130,68,60.46556553368176,70
140,68,60.50593896275487,70
150,68,60.546200243413885,70
160,68,60.58634968718218,70
170,68,60.626387604717785,70
180,68,60.66631430581579,70
190,68,60.70613009941074,70
200,68,60.74583529357905,70
210,68,60.78543019554133,70
220,68,60.82491511166482,70
230,68,60.864290347465754,70
240,68,60.903556207611686,70
250,68,60.94271299592388,70
260,68,60.98176101537965,70
270,68,61.0207005681147,70
280,68,61.05953195542549,70
290,68,61.09825547777153,70
300,68,61.136871434777724,70
310,68,61.17538012523667,70
320,68,61.21378184711102,70
330,68,61.25207689753571,70
340,68,61.29026557282033,70
350,68,61.328348168451384,70
360,68,61.36632497909458,70
370,68,61.40419629859709,70
380,68,61.44196241998988,70
390,68,61.47962363548991,70
400,68,61.51718023650244,70
410,68,61.55463251362327,70
420,68,61.59198075664098,70
430,68,61.6292252545392,70
440,68,61.66636629549882,70
450,68,61.70340416690021,70
460,68,61.740339155325486,70
470,68,61.777171546560695,70
480,68,61.81390162559802,70
490,68,61.85052967663803,70
500,68,61.88705598309181,70
510,68,61.92348082758323,70
520,68,61.95980449195105,70
530,68,61.996027257251185,70
540,68,62.03214940375882,70
550,68,62.068171210970604,70
560,68,62.104092957606795,70
570,68,62.13991492161344,70
580,68,62.17563738016452,70
590,68,62.21126060966406,70
600,68,62.246784885748326,70
610,68,62.28221048328791,70
620,68,62.31753767638989,70
630,68,62.35276673839992,70
640,68,62.38789794190437,70
650,68,62.42293155873241,70
660,68,62.45786785995816,70
670,68,62.49270711590272,70
680,68,62.52744959613632,70
690,68,62.562095569480384,70
700,68,62.596645304009606,70
710,68,62.63109906705402,70
720,68,62.665457125201094,70
730,68,62.69971974429776,70
740,68,62.73388718945249,70
750,68,62.76795972503734,70
760,68,62.80193761469002,70
770,68,62.83582112131588,70
780,68,62.86961050709,70
790,68,62.903306033459195,70
800,68,62.93690796114403,70
810,68,62.970416550140854,70
820,68,63.0038320597238,70
830,68,63.03715474844679,70
840,68,63.070384874145546,70
850,68,63.10352269393959,70
860,68,63.1365684642342,70
870,68,63.16952244072244,70
880,68,63.2023848783871,70
890,68,63.23515603150269,70
900,68,63.267836153637404,70
910,68,63.300425497655084,70
920,68,63.33292431571715,70
930,68,63.36533285928461,70
940,68,63.39765137911993,70
950,68,63.42988012528904,70
960,68,63.462019347163235,70
970,68,63.49406929342112,70
980,68,63.5260302120505,70
990,68,63.55790235035036,70
1000,68,63.58968595493272,70
1010,68,63.62138127172457,70
1020,68,63.65298854596979,70
1030,68,63.684508022230986,70
1040,68,63.71593994439145,70
1050,68,63.74728455565703,70
